id_estacion,nombre_estacion,long_estacion,lat_estacion,domicilio_estacion,tipo_estacion,observaciones,horario_estacion
166.0,Cementerio de la Recoleta,-58.3933174506005,-34.5891497441135,Vicente López 2050 entre Junín y Uriburu,AUTOMÁTICA,Inaugurada 3/10/2016,Estación automática: disponibilidad las 24 horas
167.0,Hipólito Yrigoyen,-58.42878106059361,-34.61506434662,Hipolito Yrigoyen entre Muñiz y La Plata,AUTOMÁTICA,Marzo 2017,Estación automática: disponibilidad las 24 horas
168.0,Estados Unidos,-58.3812826082139,-34.618619956816694,Estados Unidos y Lima,AUTOMÁTICA,Junio 2017,Estación automática: disponibilidad las 24 horas
169.0,Facultad de Psicología,-58.4119247639604,-34.6120200280467,Hipólito Yrigoyen y 24 de Noviembre,AUTOMÁTICA,Julio 2017,Estación automática: disponibilidad las 24 horas
170.0,San Luis y Ecuador,-58.4059662231588,-34.5997327041382,San Luis 2862 entre Ecuador y Boulogne Sur Mer,AUTOMÁTICA,Junio 2017,Estación automática: disponibilidad las 24 horas
171.0,Pasteur,-58.3995268655325,-34.6032429525726,Pasteur 501 entre Tucumán y Lavalle,AUTOMÁTICA,Junio 2017,Estación automática: disponibilidad las 24 horas
172.0,Brasil,-58.3709849319133,-34.6256071806032,Brasil y Defensa,AUTOMÁTICA,Abril 2017,Estación automática: disponibilidad las 24 horas
173.0,Plaza Cecilia Grierson,-58.3747525088729,-34.6220599419731,Av San Juan 632,AUTOMÁTICA,Abril 2017,Estación automática: disponibilidad las 24 horas
174.0,Ministerio de Educación,-58.39154877509871,-34.5972614724898,Marcelo T De Alvear 1698 y Rodríguez Peña,AUTOMÁTICA,Julio 2017,Estación automática: disponibilidad las 24 horas
175.0,Esmeralda y Corrientes,-58.37810663722551,-34.6037187781396,Esmeralda y Av Corrientes,AUTOMÁTICA,Febrero 2017,Estación automática: disponibilidad las 24 horas
176.0,Pinzón,-58.3609331461699,-34.6340720907317,Pinzón 469 y Martín Rodríguez,AUTOMÁTICA,Marzo 2017,Estación automática: disponibilidad las 24 horas
177.0,Planetario,-58.4121585445467,-34.5680738913864,"Av. Roldan, Belisario y Av. Sarmiento",AUTOMÁTICA,Julio 2017,Estación automática: disponibilidad las 24 horas
178.0,José Marmol,-58.42486660380939,-34.623457406189296,José Marmol 803 y Estados Unidos,AUTOMÁTICA,Julio 2017,Estación automática: disponibilidad las 24 horas
179.0,La Boca,-58.3603993063349,-34.6391140733123,Don Pedro de Mendoza 1819,AUTOMÁTICA,Inauguración 05/12/2017,Estación automática: disponibilidad las 24 horas
180.0,Castro y México,-58.4204709626304,-34.619802649015,Castro 680 entre México y Agrelo,AUTOMÁTICA,Julio 2017,Estación automática: disponibilidad las 24 horas
181.0,Billinghurst y Mansilla,-58.411913670783605,-34.5926966138816,Billinghurst 1533 y Mansilla,AUTOMÁTICA,Abril 2017,Estación automática: disponibilidad las 24 horas
182.0,Ravignani y Guatemala,-58.4352336081538,-34.5781909512788,Ravignani 2171 y Guatemala,AUTOMÁTICA,Mayo 2017,Estación automática: disponibilidad las 24 horas
183.0,Virrey Cevallos,-58.389691907404696,-34.6156376341942,México 1652 entre Virrey Cevallos y Solís,AUTOMÁTICA,Julio 2017,Estación automática: disponibilidad las 24 horas
184.0,Pedro Echague,-58.3913186324946,-34.630678908608,Pedro Echague 1878 entre Combate de los Pozos y Av Entre Ríos,AUTOMÁTICA,Agosto 2017,Estación automática: disponibilidad las 24 horas
185.0,Av Pavón y 33 Orientales,-58.4217825750943,-34.6313699718195,"33 Orientales 1439, entre Av. Pavón y Av. Garay",AUTOMÁTICA,Julio 2017,Estación automática: disponibilidad las 24 horas
186.0,Catamarca,-58.40714252984551,-34.6125512856829,Adolfo Alsina 2910 y Catamarca,AUTOMÁTICA,Julio 2017,Estación automática: disponibilidad las 24 horas
187.0,Parque Rivadavia,-58.43179118261829,-34.617666753946196,Chaco 250,AUTOMÁTICA,Agosto 2017,Estación automática: disponibilidad las 24 horas
188.0,Aranguren,-58.433506016027,-34.6107962769337,Aranguren 188 entre Portugal y Eduardo Acevedo,AUTOMÁTICA,Agosto 2017,Estación automática: disponibilidad las 24 horas
189.0,Posadas,-58.3855860204811,-34.588474694640695,Posadas 1350 entre Montevideo y Rodríguez Peña,AUTOMÁTICA,Agosto 2017,Estación automática: disponibilidad las 24 horas
190.0,Juncal,-58.41122742233949,-34.5850777556995,Juncal 3320 y Jerónimo Salguero,AUTOMÁTICA,Agosto 2017,Estación automática: disponibilidad las 24 horas
191.0,Rivadavia y 9 de Julio,-58.38091227469621,-34.608231785988,Rivadavia y Carlos pellegrini,AUTOMÁTICA,Abril 2017,Estación automática: disponibilidad las 24 horas
192.0,Talcahuano,-58.3856151032862,-34.5977988046358,Talcahuano 1034 y Marcelo T de Alvear,AUTOMÁTICA,Julio 2017,Estación automática: disponibilidad las 24 horas
193.0,Arenales y Agüero,-58.40597385351211,-34.591110880844695,Arenales 2882 y Aguero,,,
194.0,Perón y Francisco Acuña de Figueroa,-58.4225720421175,-34.605952483313395,"Perón, Juan Domingo Tte 3989 entre Francisco Acuña de Figueroa y Medrano",AUTOMÁTICA,Julio 2017,Estación automática: disponibilidad las 24 horas
195.0,Plaza Garay,-58.387453831513604,-34.6270491370727,Av Juan de Garay y Luis Sáenz Peña,AUTOMÁTICA,Agosto 2017,Estación automática: disponibilidad las 24 horas
196.0,Hospital Argerich,-58.36601904882379,-34.6277763431537,Pi y Margall 750 entre Necochea y Alte. Brown,AUTOMÁTICA,Agosto 2017,Estación automática: disponibilidad las 24 horas
197.0,Quintino Bocayuva,-58.4234808584974,-34.6135962625509,Quintino Bocayuva y Don Bosco,AUTOMÁTICA,Agosto 2017,Estación automática: disponibilidad las 24 horas
198.0,Hospital Sardá,-58.4041380643401,-34.6343800087707,Cátulo Castillo 2896 y Dean Funes,AUTOMÁTICA,Agosto 2017,Estación automática: disponibilidad las 24 horas
199.0,Estados Unidos y Boedo,-58.415881554842905,-34.6224389438033,Estados Unidos 3568 entre Boedo y Maza,AUTOMÁTICA,Agosto 2017,Estación automática: disponibilidad las 24 horas
200.0,Austria y French,-58.4043610826701,-34.5881914580956,Austria 2080 entre French y Juncal,AUTOMÁTICA,Septiembre 2017,Estación automática: disponibilidad las 24 horas
,CMD,,,,,,
,F. J. Santamaría de Oro,,,,,,
,Fitz Roy y Gorriti,,,,,,
,Ecoparque,,,,,,
